iter	Passed	Remaining
979	101717	2075
980	101766	1971
981	101819	1866
982	101857	1761
983	101896	1656
984	101940	1552
985	101980	1448
986	102025	1343
987	102065	1239
988	102119	1135
989	102158	1031
990	102201	928
991	102273	824
992	102390	721
993	102493	618
994	102578	515
995	102634	412
996	102684	308
997	102819	206
998	102880	102
999	102922	0
